0 1 2 3
5 9 60.35528596187175 59.07324379372936
5 10 61.135181975736565 59.74901525916959
6 1 29.506065857885616 26.842057485500266
6 2 40.59792027729636 38.079587467207325
6 3 44.150779896013866 41.64302203759071
6 4 48.74350086655112 46.611269577731534
6 5 51.81975736568457 49.50376232623638
6 6 53.94280762564991 51.75809799427121
6 7 56.672443674176776 54.77215748857711
6 8 58.925476603119584 57.2827584733412
6 9 59.53206239168111 57.91194668189732
6 10 60.31195840554593 59.17590982379172
7 1 30.285961871750434 27.087635310058257
7 2 39.73136915077989 37.3758316829145
7 3 45.407279029462735 43.33348464275598
7 4 49.87001733102253 47.89048169737826
7 5 53.509532062391685 51.6051862816957
7 6 56.32582322357019 54.79697012042893
7 7 58.49220103986135 57.177674390533895
7 8 59.40207972270364 58.195514481825036
7 9 60.48526863084922 59.390747718843414
7 10 61.178509532062385 60.07829224414986
8 1 28.596187175043326 25.45383782678962
8 2 40.294627383015595 37.293267310573896
8 3 46.10051993067591 43.79978337519622
8 4 48.7001733102253 46.102118341992814
8 5 52.12305025996534 49.69475326006716
8 6 56.02253032928943 53.838837526104456
8 7 56.88908145580589 55.06957683204845
8 8 59.27209705372617 57.62893254727983
8 9 60.31195840554593 58.739395481968906
8 10 60.61525129982669 58.97259928326122
9 1 30.11265164644714 26.78795593860589
9 2 40.59792027729636 38.746621736430896
9 3 47.87694974003466 45.86067916866861
9 4 51.429809358752166 50.122621115340074
9 5 53.81282495667244 52.67181751003574
9 6 55.762564991334486 54.435744535617545
9 7 56.932409012131714 55.479028671950445
9 8 58.44887348353552 57.50324514042039
9 9 59.96533795493934 58.681919793288486
9 10 60.4419410745234 59.00433846109133
10 1 30.155979202772965 26.61100924402203
10 2 39.081455805892546 35.89591694902228
10 3 45.79722703639515 42.93182411715195
10 4 50.17331022530329 47.555408486177
10 5 51.25649913344888 49.27505169335577
10 6 53.7261698440208 51.81236055353955
10 7 57.149046793760824 55.66952065534115
10 8 58.708838821490474 57.012296376347024
10 9 60.831889081455806 59.502111703730876
10 10 63.60485268630849 62.65333406421782
11 1 28.856152512998268 25.21523269158368
11 2 39.038128249566725 36.429664086842344
11 3 46.317157712305026 44.13931333556073
11 4 49.48006932409012 47.30695164965681
11 5 52.07972270363952 50.041339404541205
11 6 54.24610051993067 52.51187883086041
11 7 57.149046793760824 55.83405453532409
11 8 57.49566724436742 56.33723952831416
11 9 60.48526863084922 59.53652964350948
11 10 61.30849220103987 60.33711834726409
12 1 30.935875216637783 27.689494910634593
12 2 39.86135181975737 36.9667473381344
12 3 44.84402079722704 42.44285570699282
12 4 49.350086655112655 47.49145746066631
12 5 53.20623916811091 51.709374622503155
12 6 56.02253032928943 54.36052223675381
12 7 58.188908145580584 56.771576690788486
12 8 59.09878682842288 57.797619358003104
12 9 61.005199306759096 59.64073153333609
12 10 62.30502599653379 60.93816029652497
13 1 28.292894280762564 24.85537155675344
13 2 38.9948006932409 36.49649156606054
