0 1 2 3
22 3 41.984402079722706 41.90540891676822
22 4 46.23050259965338 46.38089355732063
22 5 47.79029462738302 47.60336048265039
22 6 51.429809358752166 51.52607684776831
22 7 52.729636048526864 53.010755047121435
22 8 54.93934142114385 55.31433890904638
22 9 56.499133448873486 56.85566933158911
22 10 56.932409012131714 56.94744087579697
23 1 25.34662045060659 23.97707189816807
23 2 35.65857885615251 33.844029876590724
23 3 43.02426343154246 42.15328116450014
23 4 46.88041594454073 46.37979866355531
23 5 49.74003466204506 49.65805298704644
23 6 51.81975736568457 51.80358265003409
23 7 55.02599653379549 55.19625733386804
23 8 56.23916811091855 56.188529766578355
23 9 57.842287694974004 57.9742683602711
23 10 59.27209705372617 59.52590079771763
24 1 23.440207972270365 21.447744061765317
24 2 35.051993067590985 32.8420770256714
24 3 39.68804159445407 38.39538170238873
24 4 43.58752166377816 42.75272504331616
24 5 46.88041594454073 46.73046255228728
24 6 49.78336221837088 49.66505922329431
24 7 52.38301559792028 51.703539065934955
24 8 54.15944540727903 53.50941357676319
24 9 54.63604852686309 54.14704533192881
24 10 56.1525129982669 55.803550751605194
25 1 25.34662045060659 25.180406198314127
25 2 34.878682842287695 33.76573462391437
25 3 39.73136915077989 39.69864894802285
25 4 45.7105719237435 45.97360764616202
25 5 50.30329289428076 50.969815115133635
25 6 53.81282495667244 53.69009675109706
25 7 55.93587521663779 55.91488835210626
25 8 58.05892547660312 58.14377593668701
25 9 58.578856152513005 58.69199459254359
25 10 59.18544194107452 59.42058584177865
26 1 23.440207972270365 21.933997198404896
26 2 34.575389948006936 34.023073669469895
26 3 42.50433275563258 42.7098704749921
26 4 47.92027729636049 48.61135991638518
26 5 48.18024263431543 48.75784151525397
26 6 50.82322357019065 51.202185267147414
26 7 51.99306759098788 52.1760577597581
26 8 53.466204506065864 53.579558926994785
26 9 54.54939341421144 54.70634373839335
26 10 54.98266897746967 55.308873357200575
27 1 24.523396880415945 23.175532435588604
27 2 33.925476603119584 33.140758825208565
27 3 42.02772963604853 41.998440743843275
27 4 47.09705372616985 47.25544574507505
27 5 49.653379549393414 49.70987036117936
27 6 51.94974003466204 51.96125805923091
27 7 52.946273830155974 53.16756255854565
27 8 53.76949740034662 54.075518291232974
27 9 55.15597920277296 55.32448949504582
27 10 56.45580589254766 56.80059977631164
28 1 25.259965337954938 23.752754951026187
28 2 34.22876949740035 33.723333762945984
28 3 41.59445407279029 41.8054022593605
28 4 44.194107452339686 44.09205995309023
28 5 48.613518197573654 48.60246506349636
28 6 51.51646447140381 51.62866915708679
28 7 53.466204506065864 53.83941546165772
28 8 53.682842287694974 54.051476520871375
28 9 55.50259965337955 55.81870863255144
28 10 57.62564991334489 58.01906766696919
29 1 25.34662045060659 23.9952051923307
29 2 36.26516464471404 35.445076995476285
29 3 41.68110918544194 41.426480690008795
29 4 45.92720970537262 45.75241972787401
29 5 48.74350086655112 48.82399580150363
29 6 51.51646447140381 51.665570705503114
29 7 52.38301559792028 52.649112849552495
29 8 53.98613518197573 54.254582363860024
29 9 56.06585788561526 56.16307099370951
29 10 57.019064124783355 56.880825458012666
30 1 25.086655112651645 23.387570617734756
